korean_drama_past5yr
64
67
67
68
65
73
85
86
91
94
90
79
81
80
76
82
75
72
72
72
69
73
72
70
70
70
75
79
78
81
83
78
83
84
83
78
80
79
75
75
77
72
70
74
69
71
73
76
71
70
74
67
70
76
70
68
63
65
68
70
73
72
69
63
66
73
69
70
68
73
75
80
79
69
74
76
70
77
73
67
68
72
68
68
71
76
77
75
69
72
70
71
70
70
66
65
64
62
65
67
66
70
61
64
65
60
60
65
56
59
65
66
80
87
75
76
74
68
62
68
74
68
66
65
65
62
69
66
65
68
67
58
65
60
61
62
69
70
78
87
77
71
69
68
73
76
74
68
65
61
63
59
57
60
63
66
60
63
71
68
66
64
63
69
75
78
67
66
67
75
80
69
62
62
66
69
66
64
56
55
58
52
59
58
55
57
60
63
70
63
62
61
65
66
66
60
56
63
67
64
57
55
52
51
49
51
52
51
50
50
54
53
56
59
57
54
66
73
71
66
67
69
63
62
67
61
57
56
56
51
54
55
53
54
55
52
55
54
58
61
61
62
66
72
79
100
88
86
74
73
72
71
74
71
75
72
67
63
63
55
54
