learn_korean_squidgame2
64
70
63
64
64
61
61
59
64
70
64
65
62
61
60
66
61
63
57
61
60
58
55
57
57
56
53
51
52
50
60
54
56
56
54
63
54
51
65
95
100
88
77
72
68
65
65
63
64
58
63
63
58
