kdrama_squidgame2
52
50
49
50
50
50
49
50
56
55
61
59
57
56
56
61
56
56
58
81
80
79
68
69
68
66
65
72
63
70
68
71
69
67
73
73
70
65
83
99
93
88
95
100
82
81
86
86
76
83
89
81
93
