kdrama_past5yr
5
5
6
7
6
7
9
10
10
10
11
10
10
11
10
10
10
9
8
10
8
10
8
9
10
10
9
9
10
12
13
10
10
11
10
10
10
10
10
9
10
10
8
9
9
10
10
13
12
11
13
11
10
9
10
10
9
10
10
12
11
14
11
11
12
13
13
12
12
13
12
13
13
12
12
14
14
13
13
13
12
11
12
13
13
14
13
15
15
13
14
14
15
14
13
14
12
12
11
13
12
12
12
12
12
12
13
11
11
13
13
13
15
17
15
16
15
14
13
14
14
13
14
13
13
14
14
14
15
15
13
14
13
15
14
14
13
16
16
17
15
15
16
15
15
16
16
15
14
12
13
15
14
13
14
13
14
13
14
15
17
18
19
19
23
23
19
20
20
20
17
17
16
16
16
16
16
18
18
18
17
18
18
18
18
18
20
20
22
21
20
20
19
22
20
20
20
29
29
28
24
24
24
23
23
25
23
25
24
25
25
24
26
26
25
23
29
36
33
31
34
35
29
29
31
30
27
30
32
29
33
31
33
32
35
35
33
32
35
34
34
38
41
46
50
58
72
89
83
95
100
81
93
92
90
93
92
79
75
37
37
