Title,Aired,Original Network,Score,Watch Platforms,Year_Simple,Release_Year,Score_Cleaned,Score_Ratings,Score_User_Base
When Life Gives You Tangerines,"Mar 7, 2025 - Mar 28, 2025",Netflix,"9.4 (scored by 36,925 users)",Netflix,2025,2025,"9.4 (scored by 36,925 users)",9.4,36925
Twinkling Watermelon,"Sep 25, 2023 - Nov 14, 2023",tvN,"9.2 (scored by 74,669 users)","Viki, VIU Indonesia, TVING",2023,2023,"9.2 (scored by 74,669 users)",9.2,74669
Move to Heaven,"May 14, 2021",Netflix,"9.1 (scored by 64,401 users)",Netflix,2021,2021,"9.1 (scored by 64,401 users)",9.1,64401
Hospital Playlist Season 2,"Jun 17, 2021 - Sep 16, 2021",tvN,"9.1 (scored by 41,964 users)","Netflix, TVING",2021,2021,"9.1 (scored by 41,964 users)",9.1,41964
Weak Hero Class 1,"Nov 18, 2022",Wavve,"9.1 (scored by 82,626 users)","Viki, iQIYI, Wavve, Netflix, Kocowa",2022,2022,"9.1 (scored by 82,626 users)",9.1,82626
The Trauma Code: Heroes on Call,"Jan 24, 2025",Netflix,"9.1 (scored by 36,524 users)",Netflix,2025,2025,"9.1 (scored by 36,524 users)",9.1,36524
Alchemy of Souls,"Jun 18, 2022 - Aug 28, 2022",tvN,"9.1 (scored by 86,806 users)",Netflix,2022,2022,"9.1 (scored by 86,806 users)",9.1,86806
Flower of Evil,"Jul 29, 2020 - Sep 23, 2020",tvN,"9.1 (scored by 82,127 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, Prime Video",2020,2020,"9.1 (scored by 82,127 users)",9.1,82127
Reply 1988,"Nov 6, 2015 - Jan 16, 2016",tvN,"9.0 (scored by 60,452 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Tubi, Prime Video",2016,2016,"9.0 (scored by 60,452 users)",9.0,60452
Moving,"Aug 9, 2023 - Sep 20, 2023",Disney+,"9.0 (scored by 45,153 users)","Apple TV, Disney+, Disney+ Hotstar, Hulu",2023,2023,"9.0 (scored by 45,153 users)",9.0,45153
Hospital Playlist,"Mar 12, 2020 - May 28, 2020",tvN,"9.0 (scored by 60,299 users)",Netflix,2020,2020,"9.0 (scored by 60,299 users)",9.0,60299
My Mister,"Mar 21, 2018 - May 17, 2018",tvN,"9.0 (scored by 33,944 users)","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, Tubi",2018,2018,"9.0 (scored by 33,944 users)",9.0,33944
Lovely Runner,"Apr 8, 2024 - May 28, 2024",tvN,"9.0 (scored by 75,475 users)","Apple TV, Viki, TVING, VIU Indonesia, Netflix",2024,2024,"9.0 (scored by 75,475 users)",9.0,75475
Under the Queen's Umbrella,"Oct 15, 2022 - Dec 4, 2022",tvN,"9.0 (scored by 20,775 users)",Netflix,2022,2022,"9.0 (scored by 20,775 users)",9.0,20775
Crash Landing on You,"Dec 14, 2019 - Feb 16, 2020",tvN,"9.0 (scored by 140,179 users)","Netflix, TVING",2020,2020,"9.0 (scored by 140,179 users)",9.0,140179
The Glory Part 2,"Mar 10, 2023",Netflix,"9.0 (scored by 70,527 users)",Netflix,2023,2023,"9.0 (scored by 70,527 users)",9.0,70527
Mr. Queen,"Dec 12, 2020 - Feb 14, 2021",tvN,"8.9 (scored by 64,171 users)","Viki, Hulu, Prime Video, VIU Indonesia, Netflix",2021,2021,"8.9 (scored by 64,171 users)",8.9,64171
Prison Playbook,"Nov 22, 2017 - Jan 18, 2018",tvN,"8.9 (scored by 35,043 users)","Disney+ Hotstar, Netflix, iQIYI, VIU Indonesia, Prime Video",2018,2018,"8.9 (scored by 35,043 users)",8.9,35043
Mother,"Jan 24, 2018 - Mar 15, 2018",tvN,"8.9 (scored by 10,551 users)",VIU Indonesia,2018,2018,"8.9 (scored by 10,551 users)",8.9,10551
My Dearest,"Aug 4, 2023 - Sep 2, 2023",MBC,"8.9 (scored by 15,071 users)","Apple TV, Viki, Wavve, Prime Video, Netflix, Kocowa",2023,2023,"8.9 (scored by 15,071 users)",8.9,15071
My Dearest Part 2,"Oct 13, 2023 - Nov 18, 2023",MBC,"8.9 (scored by 10,863 users)","Viki, Wavve, Prime Video, Netflix, Kocowa",2023,2023,"8.9 (scored by 10,863 users)",8.9,10863
Taxi Driver Season 2,"Feb 17, 2023 - Apr 15, 2023",SBS,"8.9 (scored by 21,489 users)","Apple TV, Viki, VIU Indonesia, Wavve, Prime Video, Kocowa",2023,2023,"8.9 (scored by 21,489 users)",8.9,21489
Dr. Romantic Season 3,"Apr 28, 2023 - Jun 17, 2023",SBS,"8.9 (scored by 17,886 users)","Disney+, Disney+ Hotstar, Hulu",2023,2023,"8.9 (scored by 17,886 users)",8.9,17886
Alchemy of Souls Season 2: Light and Shadow,"Dec 10, 2022 - Jan 8, 2023",tvN,"8.9 (scored by 60,594 users)",Netflix,2023,2023,"8.9 (scored by 60,594 users)",8.9,60594
The Glory,"Dec 30, 2022",Netflix,"8.9 (scored by 93,295 users)",Netflix,2022,2022,"8.9 (scored by 93,295 users)",8.9,93295
Navillera,"Mar 22, 2021 - Apr 27, 2021",tvN,"8.9 (scored by 22,012 users)","Netflix, TVING",2021,2021,"8.9 (scored by 22,012 users)",8.9,22012
Signal,"Jan 22, 2016 - Mar 12, 2016",tvN,"8.9 (scored by 39,556 users)","Disney+ Hotstar, Netflix, WeTV, iQIYI, Prime Video, Tubi",2016,2016,"8.9 (scored by 39,556 users)",8.9,39556
The Good Bad Mother,"Apr 26, 2023 - Jun 8, 2023",jTBC,"8.9 (scored by 40,637 users)","Netflix, TVING",2023,2023,"8.9 (scored by 40,637 users)",8.9,40637
It's Okay to Not Be Okay,"Jun 20, 2020 - Aug 9, 2020",tvN,"8.9 (scored by 142,074 users)",Netflix,2020,2020,"8.9 (scored by 142,074 users)",8.9,142074
Extraordinary Attorney Woo,"Jun 29, 2022 - Aug 18, 2022",ENA,"8.9 (scored by 94,186 users)",Netflix,2022,2022,"8.9 (scored by 94,186 users)",8.9,94186
Vincenzo,"Feb 20, 2021 - May 2, 2021",tvN,"8.9 (scored by 113,587 users)","Netflix, TVING",2021,2021,"8.9 (scored by 113,587 users)",8.9,113587
Study Group,"Jan 23, 2025 - Feb 20, 2025",TVING,"8.9 (scored by 35,542 users)","TVING, Viki, VIU Indonesia",2025,2025,"8.9 (scored by 35,542 users)",8.9,35542
Kingdom Season 2,"Mar 13, 2020",Netflix,"8.9 (scored by 33,500 users)",Netflix,2020,2020,"8.9 (scored by 33,500 users)",8.9,33500
Mouse,"Mar 3, 2021 - May 19, 2021",tvN,"8.9 (scored by 34,518 users)","Apple TV, WeTV, Viki, iQIYI, TVING, VIU Indonesia, Prime Video, Tubi, Roku",2021,2021,"8.9 (scored by 34,518 users)",8.9,34518
Death's Game Part 2,"Jan 5, 2024",TVING,"8.8 (scored by 34,332 users)","Prime Video, TVING",2024,2024,"8.8 (scored by 34,332 users)",8.8,34332
Tomorrow,"Apr 1, 2022 - May 21, 2022",MBC,"8.8 (scored by 60,439 users)",Netflix,2022,2022,"8.8 (scored by 60,439 users)",8.8,60439
Mr. Sunshine,"Jul 7, 2018 - Sep 30, 2018",tvN,"8.8 (scored by 32,589 users)",Netflix,2018,2018,"8.8 (scored by 32,589 users)",8.8,32589
Happiness,"Nov 5, 2021 - Dec 11, 2021","TVING, tvN","8.8 (scored by 65,749 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, TVING, VIU Indonesia",2021,2021,"8.8 (scored by 65,749 users)",8.8,65749
Death's Game,"Dec 15, 2023",TVING,"8.8 (scored by 43,342 users)","TVING, Prime Video",2023,2023,"8.8 (scored by 43,342 users)",8.8,43342
Healer,"Dec 8, 2014 - Feb 10, 2015",KBS2,"8.8 (scored by 83,921 users)","Apple TV, Netflix, Viki, iQIYI, Prime Video, Kocowa",2015,2015,"8.8 (scored by 83,921 users)",8.8,83921
Taxi Driver,"Apr 9, 2021 - May 29, 2021","SBS, Wavve","8.8 (scored by 42,978 users)","Apple TV, Netflix, Viki, Prime Video, VIU Indonesia, SBS World, Kocowa",2021,2021,"8.8 (scored by 42,978 users)",8.8,42978
Weak Hero Class 2,"Apr 25, 2025",Netflix,"8.8 (scored by 36,333 users)",Netflix,2025,2025,"8.8 (scored by 36,333 users)",8.8,36333
Our Unwritten Seoul,"May 24, 2025 - Jun 29, 2025",tvN,"8.8 (scored by 17,966 users)","TVING, Netflix",2025,2025,"8.8 (scored by 17,966 users)",8.8,17966
Twenty-Five Twenty-One,"Feb 12, 2022 - Apr 3, 2022",tvN,"8.8 (scored by 76,498 users)","Netflix, TVING",2022,2022,"8.8 (scored by 76,498 users)",8.8,76498
Tale of the Nine-Tailed 1938,"May 6, 2023 - Jun 11, 2023",tvN,"8.8 (scored by 19,509 users)","Prime Video, TVING",2023,2023,"8.8 (scored by 19,509 users)",8.8,19509
Guardian: The Lonely and Great God,"Dec 2, 2016 - Jan 21, 2017",tvN,"8.8 (scored by 150,200 users)","Apple TV, Netflix, Viki, Prime Video, VIU Indonesia",2017,2017,"8.8 (scored by 150,200 users)",8.8,150200
Missing: The Other Side Season 2,"Dec 19, 2022 - Jan 31, 2023",tvN,"8.8 (scored by 6,297 users)","VIU Indonesia, Netflix",2023,2023,"8.8 (scored by 6,297 users)",8.8,6297
The Uncanny Counter,"Nov 28, 2020 - Jan 24, 2021",OCN,"8.8 (scored by 67,318 users)",Netflix,2021,2021,"8.8 (scored by 67,318 users)",8.8,67318
Resident Playbook,"Apr 12, 2025 - May 18, 2025",tvN,"8.8 (scored by 18,915 users)","TVING, Netflix",2025,2025,"8.8 (scored by 18,915 users)",8.8,18915
The Red Sleeve,"Nov 12, 2021 - Jan 1, 2022",MBC,"8.8 (scored by 23,140 users)","Apple TV, Viki, VIU Indonesia, Netflix",2022,2022,"8.8 (scored by 23,140 users)",8.8,23140
Kingdom,"Jan 25, 2019",Netflix,"8.8 (scored by 45,577 users)",Netflix,2019,2019,"8.8 (scored by 45,577 users)",8.8,45577
Stranger,"Jun 10, 2017 - Jul 30, 2017",tvN,"8.8 (scored by 26,842 users)","Disney+ Hotstar, Netflix, iQIYI, VIU Indonesia, Prime Video",2017,2017,"8.8 (scored by 26,842 users)",8.8,26842
D.P.,"Aug 27, 2021",Netflix,"8.8 (scored by 40,721 users)",Netflix,2021,2021,"8.8 (scored by 40,721 users)",8.8,40721
Dr. Romantic Season 2,"Jan 6, 2020 - Feb 25, 2020",SBS,"8.8 (scored by 36,966 users)","Apple TV, Netflix, WeTV, Viki, VIU Indonesia, Kocowa",2020,2020,"8.8 (scored by 36,966 users)",8.8,36966
Daily Dose of Sunshine,"Nov 3, 2023",Netflix,"8.8 (scored by 29,174 users)",Netflix,2023,2023,"8.8 (scored by 29,174 users)",8.8,29174
SKY Castle,"Nov 23, 2018 - Feb 1, 2019",jTBC,"8.7 (scored by 34,593 users)","Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Prime Video, TVer, TVING",2019,2019,"8.7 (scored by 34,593 users)",8.7,34593
A Shop for Killers,"Jan 17, 2024 - Feb 7, 2024",Disney+,"8.8 (scored by 29,115 users)","Disney+, Disney+ Hotstar, Hulu",2024,2024,"8.8 (scored by 29,115 users)",8.8,29115
Weightlifting Fairy Kim Bok Joo,"Nov 16, 2016 - Jan 11, 2017",MBC,"8.7 (scored by 133,659 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, Prime Video, HBO Max, Kocowa",2017,2017,"8.7 (scored by 133,659 users)",8.7,133659
Partners for Justice Season 2,"Jun 3, 2019 - Jul 29, 2019",MBC,"8.8 (scored by 8,016 users)","Netflix, VIU Indonesia, Viki, Kocowa",2019,2019,"8.8 (scored by 8,016 users)",8.8,8016
Youth of May,"May 3, 2021 - Jun 8, 2021",KBS2,"8.7 (scored by 27,883 users)","Netflix, Viki, Prime Video, VIU Indonesia, Kocowa",2021,2021,"8.7 (scored by 27,883 users)",8.7,27883
Begins Youth,"Apr 30, 2024 - May 14, 2024",,"8.7 (scored by 3,450 users)",,2024,2024,"8.7 (scored by 3,450 users)",8.7,3450
Queen of Tears,"Mar 9, 2024 - Apr 28, 2024",tvN,"8.7 (scored by 72,371 users)","Netflix, TVING",2024,2024,"8.7 (scored by 72,371 users)",8.7,72371
Moon Lovers: Scarlet Heart Ryeo,"Aug 29, 2016 - Nov 1, 2016",SBS,"8.7 (scored by 84,309 users)","Prime Video, VIU Indonesia, SBS VOD, Wavve, Viki",2016,2016,"8.7 (scored by 84,309 users)",8.7,84309
Arthdal Chronicles Part 3: The Prelude to All Legends,"Sep 7, 2019 - Sep 22, 2019",tvN,"8.7 (scored by 14,017 users)",Netflix,2019,2019,"8.7 (scored by 14,017 users)",8.7,14017
Through the Darkness,"Jan 14, 2022 - Mar 12, 2022","SBS, Wavve","8.7 (scored by 11,554 users)","Apple TV, Viki, Prime Video, Netflix, VIU Indonesia, Kocowa",2022,2022,"8.7 (scored by 11,554 users)",8.7,11554
Beyond Evil,"Feb 19, 2021 - Apr 10, 2021",jTBC,"8.7 (scored by 29,327 users)","Disney+ Hotstar, Netflix, WeTV, Viki, VIU Indonesia, Prime Video, Tubi",2021,2021,"8.7 (scored by 29,327 users)",8.7,29327
The Devil Judge,"Jul 3, 2021 - Aug 22, 2021",tvN,"8.7 (scored by 29,963 users)","Netflix, WeTV, Viki, iQIYI, TVING, VIU Indonesia",2021,2021,"8.7 (scored by 29,963 users)",8.7,29963
Racket Boys,"May 31, 2021 - Aug 9, 2021",SBS,"8.7 (scored by 16,698 users)",Netflix,2021,2021,"8.7 (scored by 16,698 users)",8.7,16698
The First Responders,"Nov 12, 2022 - Dec 30, 2022",SBS,"8.7 (scored by 13,941 users)","Apple TV, Disney+ Hotstar, Disney+, Hulu",2022,2022,"8.7 (scored by 13,941 users)",8.7,13941
Life on Mars,"Jun 9, 2018 - Aug 5, 2018",OCN,"8.7 (scored by 12,123 users)",Disney+,2018,2018,"8.7 (scored by 12,123 users)",8.7,12123
Six Flying Dragons,"Oct 5, 2015 - Mar 22, 2016",SBS,"8.7 (scored by 7,031 users)","Netflix, Viki, Prime Video, SBS VOD, SBS World",2016,2016,"8.7 (scored by 7,031 users)",8.7,7031
Dear My Friends,"May 13, 2016 - Jul 2, 2016",tvN,"8.7 (scored by 4,265 users)","Apple TV, Disney+ Hotstar, Netflix, Prime Video, Tubi",2016,2016,"8.7 (scored by 4,265 users)",8.7,4265
Family by Choice,"Oct 9, 2024 - Nov 27, 2024",jTBC,"8.7 (scored by 29,884 users)","Viki, TVING, VIU Indonesia",2024,2024,"8.7 (scored by 29,884 users)",8.7,29884
Strong Woman Do Bong Soon,"Feb 24, 2017 - Apr 15, 2017",jTBC,"8.7 (scored by 156,233 users)","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia",2017,2017,"8.7 (scored by 156,233 users)",8.7,156233
Sweet Home,"Dec 18, 2020",Netflix,"8.7 (scored by 81,949 users)",Netflix,2020,2020,"8.7 (scored by 81,949 users)",8.7,81949
D.P. Season 2,"Jul 28, 2023",Netflix,"8.7 (scored by 19,754 users)",Netflix,2023,2023,"8.7 (scored by 19,754 users)",8.7,19754
Dr. Romantic,"Nov 7, 2016 - Jan 16, 2017",SBS,"8.7 (scored by 41,220 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, SBS VOD, Wavve, SBS World, HBO Max, Kocowa",2017,2017,"8.7 (scored by 41,220 users)",8.7,41220
The Guest,"Sep 12, 2018 - Nov 1, 2018",OCN,"8.7 (scored by 16,208 users)","Apple TV, Netflix, WeTV, Tubi, Roku",2018,2018,"8.7 (scored by 16,208 users)",8.7,16208
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","Jun 22, 2019 - Jul 7, 2019",tvN,"8.7 (scored by 15,679 users)",Netflix,2019,2019,"8.7 (scored by 15,679 users)",8.7,15679
Hometown Cha-Cha-Cha,"Aug 28, 2021 - Oct 17, 2021",tvN,"8.7 (scored by 93,704 users)","Netflix, TVING",2021,2021,"8.7 (scored by 93,704 users)",8.7,93704
While You Were Sleeping,"Sep 27, 2017 - Nov 16, 2017",SBS,"8.7 (scored by 94,275 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, iflix, VIU Indonesia, Kocowa",2017,2017,"8.7 (scored by 94,275 users)",8.7,94275
The Penthouse: War in Life,"Oct 26, 2020 - Jan 5, 2021",SBS,"8.7 (scored by 36,883 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia, Kocowa",2021,2021,"8.7 (scored by 36,883 users)",8.7,36883
Business Proposal,"Feb 28, 2022 - Apr 5, 2022",SBS,"8.7 (scored by 153,349 users)","Netflix, Wavve",2022,2022,"8.7 (scored by 153,349 users)",8.7,153349
"Kill Me, Heal Me","Jan 7, 2015 - Mar 12, 2015",MBC,"8.7 (scored by 56,288 users)","Apple TV, Netflix, WeTV, Viki, China Huace TV, Kocowa",2015,2015,"8.7 (scored by 56,288 users)",8.7,56288
The Penthouse Season 2: War in Life,"Feb 19, 2021 - Apr 2, 2021",SBS,"8.7 (scored by 29,035 users)","Netflix, WeTV, Viki, iQIYI, Prime Video, Kocowa",2021,2021,"8.7 (scored by 29,035 users)",8.7,29035
Flex X Cop,"Jan 26, 2024 - Mar 23, 2024",SBS,"8.7 (scored by 16,404 users)","Disney+ Hotstar, Disney+, Wavve, Hulu",2024,2024,"8.7 (scored by 16,404 users)",8.7,16404
Bloodhounds,"Jun 9, 2023",Netflix,"8.7 (scored by 42,756 users)",Netflix,2023,2023,"8.7 (scored by 42,756 users)",8.7,42756
Defendant,"Jan 23, 2017 - Mar 21, 2017",SBS,"8.7 (scored by 12,977 users)","Netflix, Viki, VIU Indonesia, SBS VOD, Kocowa",2017,2017,"8.7 (scored by 12,977 users)",8.7,12977
My Name,"Oct 15, 2021",Netflix,"8.7 (scored by 80,165 users)",Netflix,2021,2021,"8.7 (scored by 80,165 users)",8.7,80165
Misaeng: Incomplete Life,"Oct 17, 2014 - Dec 20, 2014",tvN,"8.6 (scored by 14,424 users)","Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Tubi",2014,2014,"8.6 (scored by 14,424 users)",8.6,14424
Seoul Busters,"Sep 11, 2024 - Oct 30, 2024",Disney+,"8.7 (scored by 5,596 users)","Disney+, Hulu",2024,2024,"8.7 (scored by 5,596 users)",8.7,5596
Strangers from Hell,"Aug 31, 2019 - Oct 6, 2019",OCN,"8.6 (scored by 40,547 users)","Apple TV, Prime Video, VIU Indonesia, Roku, Tubi",2019,2019,"8.6 (scored by 40,547 users)",8.6,40547
The Kidnapping Day,"Sep 13, 2023 - Oct 25, 2023",ENA,"8.6 (scored by 4,921 users)","Prime Video, TVING",2023,2023,"8.6 (scored by 4,921 users)",8.6,4921
Chicago Typewriter,"Apr 7, 2017 - Jun 3, 2017",tvN,"8.6 (scored by 26,487 users)","WeTV, Viki, Tubi, Roku",2017,2017,"8.6 (scored by 26,487 users)",8.6,26487
The King of Pigs,"Mar 18, 2022 - Apr 22, 2022",TVING,"8.6 (scored by 7,908 users)","Apple TV, Prime Video, TVING",2022,2022,"8.6 (scored by 7,908 users)",8.6,7908
The Worst of Evil,"Sep 27, 2023 - Oct 25, 2023",Disney+,"8.7 (scored by 17,807 users)","Disney+, Disney+ Hotstar, Hulu",2023,2023,"8.7 (scored by 17,807 users)",8.7,17807
My Perfect Stranger,"May 1, 2023 - Jun 20, 2023",KBS2,"8.6 (scored by 12,331 users)","Wavve, Viki, VIU Indonesia, Kocowa",2023,2023,"8.6 (scored by 12,331 users)",8.6,12331
Missing: The Other Side,"Aug 29, 2020 - Oct 11, 2020",OCN,"8.6 (scored by 11,703 users)","Viki, iQIYI, VIU Indonesia, Netflix",2020,2020,"8.6 (scored by 11,703 users)",8.6,11703
The Judge from Hell,"Sep 21, 2024 - Nov 2, 2024",SBS,"8.7 (scored by 30,334 users)","Disney+, Disney+ Hotstar, Wavve, Hulu",2024,2024,"8.7 (scored by 30,334 users)",8.7,30334
18 Again,"Sep 21, 2020 - Nov 10, 2020",jTBC,"8.6 (scored by 44,118 users)","Netflix, WeTV, iQIYI, TVING, HBO Max",2020,2020,"8.6 (scored by 44,118 users)",8.6,44118
Our Beloved Summer,"Dec 6, 2021 - Jan 25, 2022",SBS,"8.6 (scored by 68,310 users)","Netflix, Wavve",2022,2022,"8.6 (scored by 68,310 users)",8.6,68310
Descendants of the Sun,"Feb 24, 2016 - Apr 14, 2016",KBS2,"8.6 (scored by 125,834 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, iflix, VIU Indonesia",2016,2016,"8.6 (scored by 125,834 users)",8.6,125834
Our Blues,"Apr 9, 2022 - Jun 12, 2022",tvN,"8.6 (scored by 19,193 users)","Netflix, TVING",2022,2022,"8.6 (scored by 19,193 users)",8.6,19193
Revenant,"Jun 23, 2023 - Jul 29, 2023",SBS,"8.6 (scored by 16,265 users)","Apple TV, Disney+ Hotstar, Hulu",2023,2023,"8.6 (scored by 16,265 users)",8.6,16265
Hot Stove League,"Dec 13, 2019 - Feb 14, 2020",SBS,"8.6 (scored by 13,784 users)","Netflix, Viki, VIU Indonesia, Kocowa",2020,2020,"8.6 (scored by 13,784 users)",8.6,13784
The Fiery Priest,"Feb 15, 2019 - Apr 20, 2019",SBS,"8.6 (scored by 17,124 users)","Apple TV, Netflix, Viki, SBS World, Kocowa",2019,2019,"8.6 (scored by 17,124 users)",8.6,17124
Tunnel,"Mar 25, 2017 - May 21, 2017",OCN,"8.6 (scored by 21,221 users)","Apple TV, Netflix, WeTV, Viki, Tubi, Roku, Prime Video",2017,2017,"8.6 (scored by 21,221 users)",8.6,21221
Family Matters,"Nov 29, 2024 - Dec 27, 2024",COUPANG TV,"8.6 (scored by 7,982 users)","Tubi, Viki",2024,2024,"8.6 (scored by 7,982 users)",8.6,7982
The Tale of Lady Ok,"Nov 30, 2024 - Jan 26, 2025",jTBC,"8.6 (scored by 4,814 users)","Apple TV, Netflix, WeTV, VIU Indonesia, Prime Video, Kocowa",2025,2025,"8.6 (scored by 4,814 users)",8.6,4814
"It's Okay, That's Love","Jul 23, 2014 - Sep 11, 2014",SBS,"8.6 (scored by 46,589 users)","Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Wavve, Kocowa",2014,2014,"8.6 (scored by 46,589 users)",8.6,46589
Hotel del Luna,"Jul 13, 2019 - Sep 1, 2019",tvN,"8.6 (scored by 99,417 users)","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia",2019,2019,"8.6 (scored by 99,417 users)",8.6,99417
Head over Heels (2025),"Jun 23, 2025 - Jul 29, 2025",tvN,"8.6 (scored by 13,286 users)","TVING, Prime Video",2025,2025,"8.6 (scored by 13,286 users)",8.6,13286
Live,"Mar 10, 2018 - May 6, 2018",tvN,"8.6 (scored by 9,095 users)","Netflix, iQIYI, Tubi, Roku",2018,2018,"8.6 (scored by 9,095 users)",8.6,9095
Mr. Plankton,"Nov 8, 2024",Netflix,"8.6 (scored by 36,004 users)",Netflix,2024,2024,"8.6 (scored by 36,004 users)",8.6,36004
The First Responders Season 2,"Aug 4, 2023 - Sep 9, 2023","ENA, SBS, SBS Plus","8.6 (scored by 8,243 users)","Disney+, Disney+ Hotstar, Hulu, Wavve",2023,2023,"8.6 (scored by 8,243 users)",8.6,8243
Ghost Doctor,"Jan 3, 2022 - Feb 22, 2022",tvN,"8.6 (scored by 22,701 users)","Netflix, Viki, iQIYI, TVING, VIU Indonesia",2022,2022,"8.6 (scored by 22,701 users)",8.6,22701
High School Return of a Gangster,"May 29, 2024 - Jun 19, 2024","TVING, Watcha, Wavve","8.6 (scored by 18,755 users)","TVING, Wavve, VIU Indonesia",2024,2024,"8.6 (scored by 18,755 users)",8.6,18755
Welcome to Samdal-ri,"Dec 2, 2023 - Jan 21, 2024",jTBC,"8.6 (scored by 46,132 users)",Netflix,2024,2024,"8.6 (scored by 46,132 users)",8.6,46132
Law School,"Apr 14, 2021 - Jun 9, 2021",jTBC,"8.6 (scored by 28,019 users)",Netflix,2021,2021,"8.6 (scored by 28,019 users)",8.6,28019
Duty after School: Part 1,"Mar 31, 2023",TVING,"8.6 (scored by 23,041 users)","VIU Indonesia, Viki",2023,2023,"8.6 (scored by 23,041 users)",8.6,23041
Children of Nobody,"Nov 21, 2018 - Jan 16, 2019",MBC,"8.6 (scored by 5,439 users)",Kocowa,2019,2019,"8.6 (scored by 5,439 users)",8.6,5439
Go Back Couple,"Oct 13, 2017 - Nov 18, 2017",KBS2,"8.5 (scored by 25,350 users)","Netflix, Viki, iQIYI, VIU Indonesia, Kocowa",2017,2017,"8.5 (scored by 25,350 users)",8.5,25350
Eulachacha Waikiki,"Feb 5, 2018 - Apr 17, 2018",jTBC,"8.6 (scored by 40,064 users)","Netflix, WeTV, Viki, iflix, VIU Indonesia, Prime Video, Tubi",2018,2018,"8.6 (scored by 40,064 users)",8.6,40064
Empress Ki,"Oct 28, 2013 - Apr 29, 2014",MBC,"8.6 (scored by 19,380 users)","Apple TV, Netflix, Viki, Prime Video, Kocowa",2014,2014,"8.6 (scored by 19,380 users)",8.6,19380
Juvenile Justice,"Feb 25, 2022",Netflix,"8.5 (scored by 23,731 users)",Netflix,2022,2022,"8.5 (scored by 23,731 users)",8.5,23731
All of Us Are Dead,"Jan 28, 2022",Netflix,"8.6 (scored by 84,274 users)",Netflix,2022,2022,"8.6 (scored by 84,274 users)",8.6,84274
Once Again,"Mar 28, 2020 - Sep 13, 2020",KBS2,"8.5 (scored by 6,806 users)","Apple TV, Netflix, Viki, VIU Indonesia, Kocowa",2020,2020,"8.5 (scored by 6,806 users)",8.5,6806
Light Shop,"Dec 4, 2024 - Dec 18, 2024",Disney+,"8.5 (scored by 16,449 users)","Disney+, Hulu",2024,2024,"8.5 (scored by 16,449 users)",8.5,16449
Pyramid Game,"Feb 29, 2024 - Mar 21, 2024",TVING,"8.5 (scored by 19,447 users)","Apple TV, TVING, VIU Indonesia",2024,2024,"8.5 (scored by 19,447 users)",8.5,19447
Good Manager,"Jan 25, 2017 - Mar 30, 2017",KBS2,"8.5 (scored by 18,646 users)","Netflix, Viki, Kocowa",2017,2017,"8.5 (scored by 18,646 users)",8.5,18646
Big Mouth,"Jul 29, 2022 - Sep 17, 2022",MBC,"8.5 (scored by 36,161 users)","Apple TV, Disney+ Hotstar, Disney+, Wavve, Hulu",2022,2022,"8.5 (scored by 36,161 users)",8.5,36161
My Liberation Notes,"Apr 9, 2022 - May 29, 2022",jTBC,"8.5 (scored by 26,300 users)","Netflix, TVING",2022,2022,"8.5 (scored by 26,300 users)",8.5,26300
Stranger Season 2,"Aug 15, 2020 - Oct 4, 2020",tvN,"8.5 (scored by 11,491 users)",Netflix,2020,2020,"8.5 (scored by 11,491 users)",8.5,11491
Cruel City,"May 27, 2013 - Jul 30, 2013",jTBC,"8.5 (scored by 10,227 users)",,2013,2013,"8.5 (scored by 10,227 users)",8.5,10227
Blind,"Sep 16, 2022 - Nov 5, 2022","OCN, tvN","8.5 (scored by 12,601 users)","Apple TV, VIU Indonesia, TVING, Prime Video",2022,2022,"8.5 (scored by 12,601 users)",8.5,12601
The Bridal Mask,"May 30, 2012 - Sep 6, 2012",KBS2,"8.5 (scored by 11,521 users)","Netflix, KBS World, Kocowa",2012,2012,"8.5 (scored by 11,521 users)",8.5,11521
Marry My Husband,"Jan 1, 2024 - Feb 20, 2024",tvN,"8.5 (scored by 58,651 users)","Apple TV, TVING, Prime Video",2024,2024,"8.5 (scored by 58,651 users)",8.5,58651
