Title,Aired,Original Network,Score,Watch Platforms,Year_Simple,Release_Year,Score_Cleaned,Score_Ratings,Score_User_Base
Real School,"Jan 10, 2011 - Mar 4, 2011",MBC every1,7.0 (scored by 235 users),,2011,2011,7.0 (scored by 235 users),7.0,235
Love and Secret,"Nov 10, 2014 - Apr 3, 2015",KBS2,7.1 (scored by 703 users),KBS World,2015,2015,7.1 (scored by 703 users),7.1,703
Happy Merry Ending,"Apr 27, 2023 - May 19, 2023",,"7.1 (scored by 8,255 users)","Viki, Wavve, TVING",2023,2023,"7.1 (scored by 8,255 users)",7.1,8255
Who Is She,"Dec 18, 2024 - Jan 23, 2025",KBS2,"7.2 (scored by 1,256 users)","Wavve, Viki, Kocowa",2025,2025,"7.2 (scored by 1,256 users)",7.2,1256
Midas,"Feb 22, 2011 - May 3, 2011",SBS,"7.1 (scored by 1,897 users)","SBS World, Kocowa",2011,2011,"7.1 (scored by 1,897 users)",7.1,1897
To All the Guys Who Loved Me,"Jul 6, 2020 - Sep 1, 2020",KBS2,"7.1 (scored by 3,667 users)","Netflix, Viki, VIU Indonesia, Kocowa",2020,2020,"7.1 (scored by 3,667 users)",7.1,3667
Mary Stayed Out All Night,"Nov 8, 2010 - Dec 28, 2010",KBS2,"7.1 (scored by 17,197 users)","Viki, Kocowa",2010,2010,"7.1 (scored by 17,197 users)",7.1,17197
Romance Blue,"Jun 17, 2015 - Jun 26, 2015",Naver TV Cast,7.1 (scored by 645 users),,2015,2015,7.1 (scored by 645 users),7.1,645
Love Class,"May 13, 2022 - May 18, 2022",Viki,"7.1 (scored by 11,817 users)","Viki, Netflix, Wavve",2022,2022,"7.1 (scored by 11,817 users)",7.1,11817
My Sweet Dear,"Oct 21, 2021 - Nov 11, 2021",Viki,"7.1 (scored by 13,307 users)","WeTV, Viki",2021,2021,"7.1 (scored by 13,307 users)",7.1,13307
A Good Day for the Wind to Blow,"Feb 1, 2010 - Oct 1, 2010",KBS1,7.0 (scored by 367 users),,2010,2010,7.0 (scored by 367 users),7.0,367
Manhole,"Aug 9, 2017 - Sep 28, 2017",KBS2,"7.1 (scored by 3,612 users)","Viki, Kocowa",2017,2017,"7.1 (scored by 3,612 users)",7.1,3612
Afraid Of,"Dec 15, 2019 - Jan 1, 2020",,7.1 (scored by 454 users),,2020,2020,7.1 (scored by 454 users),7.1,454
Cinderella's Sister,"Mar 31, 2010 - Jun 3, 2010",KBS2,"7.1 (scored by 7,915 users)","WeTV, Viki",2010,2010,"7.1 (scored by 7,915 users)",7.1,7915
Monchouchou Globalhouse,"Nov 9, 2019 - Nov 14, 2019","SBS, vLive",7.0 (scored by 486 users),Kocowa,2019,2019,7.0 (scored by 486 users),7.0,486
Next Door Witch J,"Jun 4, 2021",Watcha,"7.1 (scored by 1,113 users)","WeTV, Viki",2021,2021,"7.1 (scored by 1,113 users)",7.1,1113
Bad-Memory Eraser,"Aug 2, 2024 - Sep 21, 2024",MBN,"7.1 (scored by 4,624 users)","Viki, TVING",2024,2024,"7.1 (scored by 4,624 users)",7.1,4624
All the Liquors,"Mar 2, 2023 - Mar 23, 2023",,"7.1 (scored by 9,820 users)","Apple TV, Viki, TVING",2023,2023,"7.1 (scored by 9,820 users)",7.1,9820
Full House Take 2,"Oct 22, 2012 - Dec 13, 2012",SBS Plus,"7.1 (scored by 8,036 users)","Apple TV, Viki",2012,2012,"7.1 (scored by 8,036 users)",7.1,8036
Love Twist,"Dec 13, 2021 - May 20, 2022",KBS2,7.0 (scored by 239 users),"Viki, KBS World, Kocowa",2022,2022,7.0 (scored by 239 users),7.0,239
First Love Again,"Feb 10, 2022 - Mar 18, 2022",Naver TV Cast,"7.1 (scored by 12,335 users)",Viki,2022,2022,"7.1 (scored by 12,335 users)",7.1,12335
Rumor,"Aug 10, 2019 - Sep 26, 2019",Genie TV,7.0 (scored by 240 users),"STUDIO DIA, Kocowa",2019,2019,7.0 (scored by 240 users),7.0,240
Left-Handed Wife,"Jan 2, 2019 - May 31, 2019",KBS2,7.0 (scored by 339 users),KBS World,2019,2019,7.0 (scored by 339 users),7.0,339
Yaksha,"Dec 10, 2010 - Feb 25, 2011",OCN,7.0 (scored by 243 users),,2011,2011,7.0 (scored by 243 users),7.0,243
Choco Bank,"Feb 15, 2016 - Feb 21, 2016",Naver TV Cast,"7.1 (scored by 5,356 users)",,2016,2016,"7.1 (scored by 5,356 users)",7.1,5356
Call of the Country,"May 10, 2010 - Jun 29, 2010",KBS2,"7.1 (scored by 1,057 users)","Viki, Kocowa",2010,2010,"7.1 (scored by 1,057 users)",7.1,1057
The Empire,"Sep 24, 2022 - Nov 13, 2022",jTBC,7.0 (scored by 364 users),"Viki, VIU Indonesia",2022,2022,7.0 (scored by 364 users),7.0,364
Not Found Love,"Nov 9, 2021 - Dec 9, 2021",,7.0 (scored by 185 users),STUDIO DIA,2021,2021,7.0 (scored by 185 users),7.0,185
Pink Lipstick,"Jan 11, 2010 - Aug 6, 2010",MBC,7.0 (scored by 481 users),Apple TV,2010,2010,7.0 (scored by 481 users),7.0,481
Love in Spring,"May 18, 2022 - Jul 6, 2022",,"7.1 (scored by 1,361 users)",Tubi,2022,2022,"7.1 (scored by 1,361 users)",7.1,1361
"Let's Eat Something, Anna","Aug 1, 2017",Naver TV Cast,7.1 (scored by 976 users),"Viki, Kocowa",2017,2017,7.1 (scored by 976 users),7.1,976
Persona,"Apr 11, 2019",Netflix,"7.1 (scored by 9,291 users)",Netflix,2019,2019,"7.1 (scored by 9,291 users)",7.1,9291
Love After School Season 2,"Jul 26, 2018 - Oct 2, 2018",,7.0 (scored by 530 users),STUDIO DIA,2018,2018,7.0 (scored by 530 users),7.0,530
"Please Remember, Princess","Nov 4, 2013 - Dec 11, 2013",CGV,"7.0 (scored by 1,237 users)",Netflix,2013,2013,"7.0 (scored by 1,237 users)",7.0,1237
Lonely Girls,"Apr 16, 2024 - May 13, 2024",,7.0 (scored by 543 users),,2024,2024,7.0 (scored by 543 users),7.0,543
Valid Love,"Dec 1, 2014 - Feb 3, 2015",tvN,"7.1 (scored by 1,823 users)",,2015,2015,"7.1 (scored by 1,823 users)",7.1,1823
My Heart Twinkle Twinkle,"Jan 17, 2015 - Apr 12, 2015",SBS,7.0 (scored by 815 users),"Viki, SBS World, Kocowa",2015,2015,7.0 (scored by 815 users),7.0,815
Glamorous Temptation,"Oct 5, 2015 - Mar 22, 2016",MBC,7.0 (scored by 853 users),Kocowa,2016,2016,7.0 (scored by 853 users),7.0,853
Click Your Heart,"Mar 17, 2016 - Mar 31, 2016",Naver TV Cast,"7.1 (scored by 9,308 users)","Apple TV, Prime Video",2016,2016,"7.1 (scored by 9,308 users)",7.1,9308
My 20th Twenty,"Apr 21, 2023 - May 27, 2023",,7.1 (scored by 724 users),"Viki, Wavve, Kocowa",2023,2023,7.1 (scored by 724 users),7.1,724
Girl of 0AM,"May 4, 2015 - May 14, 2015",MBC every1,"7.1 (scored by 2,090 users)",,2015,2015,"7.1 (scored by 2,090 users)",7.1,2090
Artificial City,"Dec 8, 2021 - Feb 10, 2022",jTBC,7.0 (scored by 533 users),"Netflix, Viki, TVING, Lemino",2022,2022,7.0 (scored by 533 users),7.0,533
Mayfly Angel,"May 22, 2024 - Jun 9, 2024",,7.0 (scored by 225 users),,2024,2024,7.0 (scored by 225 users),7.0,225
I Have Three Boyfriends,"Jul 3, 2019 - Aug 3, 2019",Naver TV Cast,"7.1 (scored by 1,547 users)",Lululala Story Lab,2019,2019,"7.1 (scored by 1,547 users)",7.1,1547
Sweetheart Service,"May 9, 2025 - Jul 31, 2025",,"7.0 (scored by 1,658 users)",,2025,2025,"7.0 (scored by 1,658 users)",7.0,1658
Save the Family,"May 11, 2015 - Oct 30, 2015",KBS1,7.0 (scored by 274 users),KBS World,2015,2015,7.0 (scored by 274 users),7.0,274
Falling for Do Jeon,"Oct 26, 2015 - Oct 30, 2015",Naver TV Cast,"7.1 (scored by 4,201 users)",Viki,2015,2015,"7.1 (scored by 4,201 users)",7.1,4201
Big,"Jun 4, 2012 - Jul 24, 2012",KBS2,"7.0 (scored by 18,579 users)","Netflix, Viki, VIU Indonesia, Kocowa",2012,2012,"7.0 (scored by 18,579 users)",7.0,18579
The Guys I Want to Catch,"Aug 30, 2021 - Nov 1, 2021",,7.0 (scored by 203 users),Dingo K-Drama,2021,2021,7.0 (scored by 203 users),7.0,203
Love Teenager,"Dec 17, 2020 - Feb 4, 2021",,7.0 (scored by 221 users),,2021,2021,7.0 (scored by 221 users),7.0,221
Sweet Temptation,"Oct 5, 2015 - Nov 20, 2015",Naver TV Cast,7.0 (scored by 373 users),,2015,2015,7.0 (scored by 373 users),7.0,373
Dear Hyeri,"Sep 23, 2024 - Oct 29, 2024","ENA, Genie TV","7.1 (scored by 4,947 users)","Viki, TVING",2024,2024,"7.1 (scored by 4,947 users)",7.1,4947
Dare to Love Me,"May 13, 2024 - Jul 2, 2024",KBS2,"7.1 (scored by 2,351 users)","Wavve, Netflix, Viki",2024,2024,"7.1 (scored by 2,351 users)",7.1,2351
YG Future Strategy Office,"Oct 5, 2018",Netflix,"7.0 (scored by 1,517 users)",Netflix,2018,2018,"7.0 (scored by 1,517 users)",7.0,1517
Clocking Out,"Oct 21, 2016 - Nov 1, 2016",Naver TV Cast,7.0 (scored by 262 users),,2016,2016,7.0 (scored by 262 users),7.0,262
187 cm Male Friend vs 155 cm Female Friend,"Apr 11, 2020 - Dec 5, 2020",,7.0 (scored by 328 users),CheezeFilm,2020,2020,7.0 (scored by 328 users),7.0,328
My Wonderful Roommate,"Apr 22, 2020 - Jun 10, 2020",,7.0 (scored by 288 users),,2020,2020,7.0 (scored by 288 users),7.0,288
After School: Lucky or Not Season 2,"Nov 26, 2014 - Jan 1, 2015",Naver TV Cast,"7.0 (scored by 1,160 users)",,2015,2015,"7.0 (scored by 1,160 users)",7.0,1160
Seoul Blues,"Aug 18, 2024 - Sep 18, 2024",,"6.8 (scored by 1,917 users)",,2024,2024,"6.8 (scored by 1,917 users)",6.8,1917
Rascal Sons,"Sep 22, 2012 - Mar 24, 2013",MBC,7.0 (scored by 347 users),,2013,2013,7.0 (scored by 347 users),7.0,347
Secret Ingredient,"Apr 30, 2024 - Jun 4, 2024",Viu,7.0 (scored by 696 users),VIU Indonesia,2024,2024,7.0 (scored by 696 users),7.0,696
Ruby Ring,"Aug 19, 2013 - Jan 3, 2014",KBS2,6.9 (scored by 201 users),"KBS World, KBS Drama",2014,2014,6.9 (scored by 201 users),6.9,201
Unpredictable Family,"Sep 18, 2023 - Mar 22, 2024",KBS1,7.0 (scored by 469 users),"Viki, KBS World, Kocowa",2024,2024,7.0 (scored by 469 users),7.0,469
Love in Black Hole,"Sep 10, 2021 - Oct 16, 2021",Tencent Video,7.0 (scored by 845 users),"WeTV, Viki",2021,2021,7.0 (scored by 845 users),7.0,845
